Gate_index;Calc-Gated_Sample-X;Calc-Gated_Sample-Z;Calc-Gated_Sample-Rz;Calc-Gated_Sample-Rx;Calc-Gated_Sample-Rs;Calc-Gated_FZPCS-X;Calc-Gated_FZPCS-Z;Calc-Gated_FZPCS-Rx;Calc-Gated_FZPCS-Rz;Raw-Gated_Sample-Xe;Raw-Gated_Sample-Xi;Raw-Gated_Sample-Ze;Raw-Gated_Sample-Zi;Raw-Gated_Sample-Zo;Raw-Gated_FZPCS-Xe;Raw-Gated_FZPCS-Xi;Raw-Gated_FZPCS-Ze;Raw-Gated_FZPCS-Zi;std(Raw-Gated_Sample-Xe);std(Raw-Gated_Sample-Xi);std(Raw-Gated_Sample-Ze);std(Raw-Gated_Sample-Zi);std(Raw-Gated_Sample-Zo);std(Raw-Gated_FZPCS-Xe);std(Raw-Gated_FZPCS-Xi);std(Raw-Gated_FZPCS-Ze);std(Raw-Gated_FZPCS-Zi);
52.000000;3.724872e-01;-3.415160e+00;-6.183170e-05;1.834362e+01;-7.460387e-09;-6.107031e-05;4.865801e-04;-2.535946e-04;-5.758354e-05;-3.724791e-01;-3.724952e-01;-4.319616e+04;1.558287e+00;2.214138e+04;6.810909e-05;5.403637e-05;5.175637e-04;4.556000e-04;nan;nan;1.068234e+01;3.527488e-04;nan;5.189723e-06;4.360821e-06;3.184249e-06;2.951705e-06;
53.000000;3.706666e-01;-3.413886e+00;-1.826303e-05;1.834801e+01;-7.460387e-09;-6.100781e-05;4.868418e-04;-2.536585e-04;-5.662434e-05;-3.706642e-01;-3.706690e-01;-4.319616e+04;1.560836e+00;2.214138e+04;6.792593e-05;5.409259e-05;5.178333e-04;4.558518e-04;3.314290e-05;6.111465e-05;1.068234e+01;1.752256e-04;2.030673e+00;4.954795e-06;4.070041e-06;2.592771e-06;2.638548e-06;
54.000000;3.682498e-01;-3.412881e+00;5.896691e-05;1.835146e+01;-7.460387e-09;-6.146094e-05;4.870898e-04;-2.531310e-04;-5.608080e-05;-3.682576e-01;-3.682421e-01;-4.319616e+04;1.562846e+00;2.214139e+04;6.831481e-05;5.461111e-05;5.180185e-04;4.561667e-04;1.116314e-04;5.905493e-05;1.068234e+01;nan;nan;3.881745e-06;3.285322e-06;2.783251e-06;2.694950e-06;
55.000000;3.651751e-01;-3.412244e+00;1.138754e-04;1.835366e+01;-7.460387e-09;-6.126563e-05;4.871270e-04;-2.535946e-04;-5.751959e-05;-3.651900e-01;-3.651602e-01;-4.319616e+04;1.564120e+00;2.214139e+04;6.829630e-05;5.424074e-05;5.181111e-04;4.561482e-04;4.719771e-05;3.818969e-05;1.068234e+01;nan;3.677667e+00;4.474739e-06;4.031952e-06;3.499772e-06;3.207964e-06;
56.000000;3.620311e-01;-3.411967e+00;5.848944e-05;1.835461e+01;-7.460387e-09;-6.105469e-05;4.869414e-04;-2.517241e-04;-5.822300e-05;-3.620387e-01;-3.620234e-01;-4.319616e+04;1.564673e+00;2.214139e+04;6.816982e-05;5.394340e-05;5.176981e-04;4.561887e-04;nan;nan;1.068234e+01;3.919159e-04;nan;4.151471e-06;3.703191e-06;2.657570e-06;2.500789e-06;
57.000000;3.588924e-01;-3.412073e+00;3.163204e-05;1.835425e+01;-7.460387e-09;-6.139453e-05;4.865645e-04;-2.523476e-04;-5.838286e-05;-3.588965e-01;-3.588882e-01;-4.319616e+04;1.564463e+00;2.214139e+04;6.852831e-05;5.426415e-05;5.173962e-04;4.557358e-04;9.740508e-05;nan;1.068234e+01;2.625009e-04;nan;3.642445e-06;3.204633e-06;2.319610e-06;2.443211e-06;
58.000000;3.560111e-01;-3.412536e+00;6.624825e-05;1.835265e+01;-7.460387e-09;-6.114648e-05;4.870625e-04;-2.545698e-04;-5.759952e-05;-3.560198e-01;-3.560025e-01;-4.319616e+04;1.563537e+00;2.214141e+04;6.818519e-05;5.411111e-05;5.181667e-04;4.559630e-04;nan;nan;1.068234e+01;nan;nan;3.437616e-06;3.124985e-06;2.513110e-06;2.434613e-06;
59.000000;3.533965e-01;-3.413362e+00;1.169789e-04;1.834981e+01;-7.460387e-09;-6.149805e-05;4.872988e-04;-2.532748e-04;-5.830293e-05;-3.534118e-01;-3.533812e-01;-4.319616e+04;1.561883e+00;2.214141e+04;6.862264e-05;5.437736e-05;5.182453e-04;4.563585e-04;nan;nan;1.068234e+01;nan;nan;4.270210e-06;3.707370e-06;2.691881e-06;2.396062e-06;
60.000000;3.512622e-01;-3.414499e+00;1.264088e-04;1.834590e+01;-7.460387e-09;-6.143164e-05;4.872910e-04;-2.530510e-04;-5.807912e-05;-3.512787e-01;-3.512456e-01;-4.319616e+04;1.559610e+00;2.214141e+04;6.852831e-05;5.433962e-05;5.182075e-04;4.563773e-04;nan;nan;1.068234e+01;nan;nan;4.240836e-06;3.664935e-06;2.715318e-06;2.603275e-06;
61.000000;3.497548e-01;-3.415880e+00;1.162627e-04;1.834114e+01;-7.460387e-09;-6.096094e-05;4.873223e-04;-2.550334e-04;-5.867062e-05;-3.497701e-01;-3.497396e-01;-4.319616e+04;1.556848e+00;2.214142e+04;6.812963e-05;5.379630e-05;5.184815e-04;4.561667e-04;nan;nan;1.068234e+01;nan;nan;4.634951e-06;3.964581e-06;2.696540e-06;2.609526e-06;
